湖北武汉
27日（今天）,小雨,16/12℃,微风
28日（明天）,小雨,14/9℃,微风
29日（后天）,小雨转阴,11/8℃,微风
30日（周日）,小雨,13/11℃,微风
31日（周一）,小雨转多云,14/10℃,微风
1日（周二）,多云转小雨,14/8℃,微风
2日（周三）,小雨转阴,16/7℃,微风

湖北襄阳
27日（今天）,小雨转中雨,15/10℃,微风
28日（明天）,小雨转中雨,12/8℃,微风
29日（后天）,小雨转阴,12/8℃,微风
30日（周日）,小雨,11/9℃,微风
31日（周一）,多云,14/9℃,微风
1日（周二）,多云转阴,13/10℃,微风
2日（周三）,阴,15/9℃,微风

湖北鄂州
27日（今天）,小雨,17/12℃,微风
28日（明天）,小雨,15/12℃,微风
29日（后天）,小雨转阴,12/9℃,微风
30日（周日）,小雨,13/11℃,微风
31日（周一）,小雨转多云,13/11℃,微风
1日（周二）,多云转小雨,15/11℃,微风
2日（周三）,小雨转阴,17/11℃,微风

湖北孝感
27日（今天）,小雨,16/12℃,微风
28日（明天）,小雨,13/9℃,微风
29日（后天）,小雨转阴,10/7℃,微风
30日（周日）,小雨,13/10℃,微风
31日（周一）,多云,13/10℃,微风
1日（周二）,多云转小雨,15/9℃,微风
2日（周三）,小雨转阴,17/9℃,微风

湖北黄冈
27日（今天）,小雨,17/13℃,微风
28日（明天）,小雨,15/12℃,微风
29日（后天）,小雨转阴,12/9℃,微风
30日（周日）,小雨,13/11℃,微风
31日（周一）,小雨转多云,13/11℃,微风
1日（周二）,多云转小雨,15/10℃,微风
2日（周三）,小雨转阴,17/10℃,微风

湖北黄石
27日（今天）,小雨,18/13℃,微风
28日（明天）,小雨,16/12℃,微风
29日（后天）,小雨转阴,13/10℃,微风
30日（周日）,小雨,14/11℃,微风
31日（周一）,小雨转多云,15/12℃,微风
1日（周二）,多云转小雨,17/11℃,微风
2日（周三）,小雨转阴,18/10℃,微风

湖北咸宁
27日（今天）,小雨,18/12℃,微风
28日（明天）,小雨,15/12℃,微风
29日（后天）,小雨转阴,12/10℃,微风
30日（周日）,小雨,12/11℃,微风
31日（周一）,小雨转多云,12/9℃,微风
1日（周二）,多云转小雨,14/10℃,微风
2日（周三）,小雨转阴,16/9℃,微风

湖北荆州
27日（今天）,小雨,16/12℃,微风
28日（明天）,小雨,13/9℃,微风
29日（后天）,小雨转阴,11/8℃,微风
30日（周日）,小雨,14/9℃,微风
31日（周一）,小雨转多云,12/10℃,微风
1日（周二）,多云转小雨,16/11℃,微风
2日（周三）,小雨转阴,18/10℃,微风

湖北宜昌
27日（今天）,小雨转中雨,15/11℃,微风
28日（明天）,小雨转中雨,14/9℃,微风
29日（后天）,小雨转阴,11/8℃,微风
30日（周日）,小雨,11/10℃,微风
31日（周一）,小雨转多云,14/10℃,微风
1日（周二）,多云转小雨,13/10℃,微风
2日（周三）,小雨转阴,15/10℃,微风

